Task ID,Task,Occupation,AI_Capability,Automation_Desire,Category
3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Advertising and Promotions Managers,4.0,3.7,Management
3242,Coordinate with the media to disseminate advertising.,Advertising and Promotions Managers,3.333333333333333,3.0,Management
3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Advertising and Promotions Managers,4.0,2.9,Management
3243,Contact organizations to explain services and facilities offered.,Advertising and Promotions Managers,2.0,3.1666666666666665,Management
3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Advertising and Promotions Managers,4.5,3.6666666666666665,Management
3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Advertising and Promotions Managers,2.5,3.5,Management
978,Review project plans to plan and coordinate project activity.,Computer and Information Systems Managers,2.0,3.2,Management
969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Computer and Information Systems Managers,2.0,3.5,Management
971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Computer and Information Systems Managers,3.0,3.6,Management
970,Stay abreast of advances in technology.,Computer and Information Systems Managers,2.5,3.3,Management
972,Review and approve all systems charts and programs prior to their implementation.,Computer and Information Systems Managers,2.5,2.7,Management
980,Prepare and review operational reports or project progress reports.,Computer and Information Systems Managers,3.5,3.1818181818181817,Management
979,Evaluate data processing proposals to assess project feasibility and requirements.,Computer and Information Systems Managers,2.0,3.6,Management
974,Control operational budget and expenditures.,Computer and Information Systems Managers,2.0,3.7,Management
966,"Manage backup, security and user help systems.",Computer and Information Systems Managers,3.5,3.0,Management
21319,Oversee the flow of cash or financial instruments.,Financial Managers,3.0,2.8,Management
21315,Evaluate data pertaining to costs to plan budgets.,Financial Managers,4.0,2.6666666666666665,Management
21321,Develop or analyze information to assess the current or future financial status of firms.,Financial Managers,4.0,2.571428571428572,Management
21318,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",Financial Managers,3.0,3.0,Management
21320,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",Financial Managers,4.0,2.571428571428572,Management
21317,"Examine, evaluate, or process loan applications.",Financial Managers,4.0,2.8,Management
21314,Prepare operational or risk reports for management analysis.,Financial Managers,4.0,3.0,Management
21326,Review collection reports to determine the status of collections and the amounts of outstanding balances.,Financial Managers,5.0,3.25,Management
21329,Review reports of securities transactions or price lists to analyze market conditions.,Financial Managers,4.5,3.0,Management
8870,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,Treasurers and Controllers,3.0,2.0,Management
20168,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",Treasurers and Controllers,4.0,3.0,Management
8861,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",Treasurers and Controllers,3.5,2.6,Management
8865,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",Treasurers and Controllers,3.0,2.0,Management
8867,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",Treasurers and Controllers,4.0,2.5,Management
8873,"Compute, withhold, and account for all payroll deductions.",Treasurers and Controllers,4.666666666666667,3.0,Management
15415,Review and update standard operating procedures or quality assurance manuals.,Quality Control Systems Managers,4.0,3.4285714285714284,Management
15430,Monitor performance of quality control systems to ensure effectiveness and efficiency.,Quality Control Systems Managers,4.333333333333333,3.125,Management
15414,Review quality documentation necessary for regulatory submissions and inspections.,Quality Control Systems Managers,4.333333333333333,3.25,Management
15428,Analyze quality control test results and provide feedback and interpretation to production management or staff.,Quality Control Systems Managers,5.0,2.5,Management
15424,"Direct the tracking of defects, test results, or other regularly reported quality control data.",Quality Control Systems Managers,5.0,4.5,Management
15416,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",Quality Control Systems Managers,3.0,2.8,Management
15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",Quality Control Systems Managers,3.0,2.8,Management
15425,Create and implement inspection and testing criteria or procedures.,Quality Control Systems Managers,2.333333333333333,3.0,Management
15423,"Document testing procedures, methodologies, or criteria.",Quality Control Systems Managers,5.0,2.833333333333333,Management
15456,"Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.",Biofuels Production Managers,4.0,2.6,Management
